orderid,latitude,longitude,estimateddeliverytime
1553368,37.456651999999998,-122.2316038,195
1553380,37.546577999999997,-122.29280180000001,257
1553457,37.8052055,-122.423372,323
1553696,37.729514000000002,-122.44910299999999,196
1553509,37.608612800000003,-122.41467799999999,161
1553677,34.0344993,-118.47081420000001,98
1553746,37.770817899999997,-122.2063138,145
1553849,37.801279700000002,-122.2265877,67
1553702,37.375537100000003,-122.11841250000001,97
1553808,37.441868599999999,-122.1934145,766
1553890,37.732174000000001,-122.39053,273
1553879,37.762853,-122.50899,423
1553836,37.543011999999997,-122.23411900000001,68
1554153,32.785747999999998,-117.1085947,1139
1554013,37.465531300000002,-122.1559225,127
1554175,37.783476700000001,-122.4700081,139
1554123,37.752175000000001,-122.442055,296
1554257,37.873134899999997,-122.2729176,174
1554136,37.662532400000003,-122.4313173,138
1554232,34.020869599999997,-118.5035189,89
1554282,37.6679514,-122.41681869999999,155
1554415,37.421158300000002,-122.11855319999999,55
1554422,37.479873900000001,-122.1513659,289
1554279,37.753014200000003,-122.49984689999999,37
1554644,37.640065800000002,-122.05485280000001,94
1554636,37.730435,-122.41693100000001,441
1554748,37.648598499999999,-122.4683181,103
1554757,37.550310400000001,-122.2573403,236
1554816,37.781255299999998,-122.4818867,56
1554838,37.663333899999998,-122.4373982,92
1554854,34.025013800000004,-118.4645518,0
1554944,33.985553600000003,-118.39525279999999,283
1554949,37.616617900000001,-122.034569,0
1554970,37.413566099999997,-122.138685,0
1555111,37.462248299999999,-122.2535039,130
1555139,37.803814000000003,-122.262033,3
1555176,37.794306400000004,-122.234303,185
1555199,36.994062,-121.85465000000001,154
1555217,37.5478375,-122.2922329,10
1555210,37.478578200000001,-122.2286845,153
1555280,32.758433400000001,-117.0722627,111
1555311,37.604622399999997,-122.39012649999999,14
1555342,37.468232999999998,-122.26889799999999,109
1555466,37.800070599999998,-122.41135850000001,217
1555478,37.790776200000003,-122.397655,62
1555533,37.726354600000001,-122.3787018,136
1555695,37.795895600000001,-122.4351587,61
1555787,37.264507999999999,-121.86456699999999,215
1555773,37.476947899999999,-122.1540979,222
1555815,37.854904400000002,-122.27145419999999,14
1555808,36.971007,-122.04976600000001,264
1555820,37.563586800000003,-122.324839,49
1555833,37.383919800000001,-122.01284440000001,197
1555912,37.791735099999997,-122.1942899,10
1555968,37.764164399999999,-122.25101239999999,3
1555935,37.412313400000002,-122.1606439,136
1556068,37.762367500000003,-122.3890607,205
1556073,37.754231400000002,-122.404233,172
1556125,37.338791200000003,-121.9198871,78
1556116,37.761262000000002,-122.504167,119
1556173,37.487645299999997,-122.2333807,245
1556260,37.393010500000003,-122.00066579999999,317
1556238,37.7170001,-122.464688,221
1556246,37.356552399999998,-122.0206764,165
1552603,37.785068699999997,-122.4164193,263
1552673,37.748992000000001,-122.50596830000001,162
1552693,37.341391999999999,-121.978931,42
1552775,37.774014000000001,-122.46459659999999,1048
1552651,37.337601499999998,-122.0679689,387
1552689,37.727716999999998,-122.46417,124
1552845,37.791803000000002,-122.430864,155
1552975,37.788752199999998,-122.4373732,129
1552857,37.307591100000003,-122.0315648,129
1552834,32.784577200000001,-117.1286405,23
1553139,37.797159299999997,-122.2533949,142
1553264,37.762442,-122.47741600000001,85
1553293,37.786594999999998,-122.40880900000001,268
1553620,37.705624,-122.46303399999999,109
1553521,37.566854900000003,-122.26688300000001,124
1553402,37.777200000000001,-122.440787,210
1553638,37.833849800000003,-122.26811379999999,367
1553579,37.7978679,-122.41553879999999,29
1553499,37.475632699999998,-122.2172032,206
1553800,37.861743500000003,-122.2857528,350
1553788,37.781344900000001,-122.49485420000001,28
1553690,37.655321000000001,-122.479733,280
1553631,32.785877900000003,-117.12998399999999,48
1553966,37.8052055,-122.423372,316
1553732,37.786363199999997,-122.3938675,459
1553940,37.755862200000003,-122.41693309999999,106
1553887,37.3853103,-122.1058283,61
1554035,36.974679000000002,-121.904769,382
1553774,37.786919099999999,-122.40032069999999,267
1553976,37.775488099999997,-122.4023557,205
1553978,37.542446300000002,-122.2835231,179
1554064,37.752386999999999,-122.405924,22
1553937,37.585969300000002,-122.3652689,97
1554022,37.727252999999997,-122.476354,100
1554110,37.794539100000001,-122.41006640000001,103
1554201,37.655453899999998,-122.0487694,44
1554016,37.796768800000002,-122.2574094,97
1554078,37.614246399999999,-122.0386963,3
1554194,37.765276100000001,-122.2509823,177
1554252,37.771170400000003,-122.4311792,209
1554402,37.761564100000001,-122.4113661,115
1554224,37.646177999999999,-122.43174399999999,89
1554234,37.728607199999999,-122.41576379999999,252
1554407,37.764728900000001,-122.4807405,74
1554329,37.786116,-122.416168,268
1554475,37.624843300000002,-122.0364302,180
1554520,37.581198999999998,-122.369451,244
1554648,37.569727499999999,-122.332134,1996
1554474,37.738163,-122.48992800000001,339
1554568,37.717295800000002,-122.4607216,174
1554663,37.761493999999999,-122.506749,141
1554589,37.223539600000002,-121.8963609,2
1554677,37.448368700000003,-122.1259913,372
1554395,37.787097899999999,-122.39290320000001,223
1554777,37.380947999999997,-121.9980238,58
1554873,37.7681483,-122.4168943,430
1554831,37.779079400000001,-122.2283305,156
1554914,36.983370700000002,-122.02502269999999,1
1554987,37.4138977,-122.0727895,533
1554995,37.771020100000001,-122.425347,11
1555132,37.754769400000001,-122.18676910000001,833
1555136,36.96555,-122.04268999999999,119
1555194,37.655398300000002,-122.09634,91
1555431,37.817982000000001,-122.2814884,140
1555413,37.658672799999998,-122.47160409999999,152
1555367,37.375163000000001,-122.1144628,211
1555481,37.775995600000002,-122.3939379,204
1555479,37.336951599999999,-121.8764493,137
1555469,36.969999000000001,-121.90475600000001,248
1555353,33.571567199999997,-117.70038,79
1555507,32.803676099999997,-117.19481450000001,175
1555606,36.984937299999999,-122.0301596,4501
1555604,37.652186999999998,-122.41805909999999,40
1555607,33.637655899999999,-117.9352717,32
1555682,37.764568699999998,-122.4687959,101
1555753,36.952905299999998,-122.05675429999999,203
1555761,32.808073,-117.25450600000001,139
1555840,37.782822000000003,-122.471135,36
1555919,37.631917799999997,-122.43012520000001,225
1556037,34.016745899999997,-118.4548662,258
1556064,32.975788999999999,-117.08269660000001,5
1555967,37.750828300000002,-122.42577439999999,231
1556145,37.805418600000003,-122.2672293,359
1556006,37.353479900000004,-121.9474633,152
1556134,37.4870017,-122.1903556,351
1556119,32.751658900000002,-117.1060173,78
1556215,37.798553499999997,-122.4039236,168
1556147,32.739653400000002,-117.25345489999999,100
1556294,37.6507103,-122.4608863,635
1556163,37.835244000000003,-122.274736,233
1556258,37.7472894,-122.41948530000001,1656
1556250,37.666361500000001,-122.1209985,28
1556129,37.318148999999998,-121.92018299999999,89
1556271,36.952537700000001,-121.8766959,21
1556299,36.968104799999999,-122.02426149999999,202
1552628,37.774060599999999,-122.44328899999999,168
1552619,37.4189097,-122.1289908,206
1552595,36.983941999999999,-122.0233118,124
1552709,37.486033900000002,-122.2220299,14
1552711,37.537405999999997,-122.32074679999999,27
1552849,37.353162300000001,-121.9857768,163
1552646,37.651276299999999,-122.0863406,103
1552795,37.809877499999999,-122.29969199999999,1049
1552875,37.737186700000002,-122.42296880000001,39
1552979,37.7735293,-122.4770195,209
1553025,37.781888299999999,-122.4771119,273
1553150,37.809150299999999,-122.2883518,202
1553086,37.777110899999997,-122.415153,100
1553168,37.265544900000002,-121.93967960000001,0
1553324,37.471204999999998,-122.230273,1
1553210,37.723990999999998,-122.432844,119
1553218,37.381694400000001,-122.057044,153
1553266,37.8104358,-122.2976565,177
1553268,37.7820982,-122.47896609999999,175
1553360,37.738939000000002,-122.430713,397
1553411,37.794023099999997,-122.4142185,36
1553512,37.699725600000001,-122.48084900000001,178
1553645,37.559294399999999,-122.32836399999999,84
1553658,37.7726246,-122.48343490000001,182
1553538,37.748804200000002,-122.4236283,20
1553523,37.791145499999999,-122.4108001,195
1553568,37.635128299999998,-122.0544347,75
1553616,37.525411800000001,-122.2862638,226
1553650,32.721507699999997,-117.1642186,97
1553883,37.799668199999999,-122.4087734,271
1553830,37.561076,-122.31765300000001,85
1553941,37.533174000000002,-122.254925,53
1553634,37.404563199999998,-122.1182982,104
1554009,37.829564400000002,-122.278679,1
1554025,37.811831699999999,-122.267668,132
1554014,37.433889899999997,-122.1133559,65
1554134,37.780787199999999,-122.42857170000001,248
1554188,37.810707800000003,-122.2811935,155
1554404,37.679192399999998,-122.099692,58
1554360,37.711432899999998,-122.4706576,66
1554341,37.554043999999998,-122.26822199999999,129
1554420,37.774159699999998,-122.464448,104
1554359,37.739410900000003,-122.46354599999999,66
1554317,34.013770999999998,-118.413434,113
1554521,37.8313962,-122.2535341,95
1554527,37.766838499999999,-122.20723409999999,46
1554572,32.803522899999997,-117.1560831,46
1554622,37.791961299999997,-122.4156831,261
1554630,37.869868699999998,-122.28460269999999,173
1554612,37.511688900000003,-122.303602,83
1554739,37.476362199999997,-122.22613579999999,196
1554804,37.665944699999997,-122.38508400000001,1972
1554694,32.716514400000001,-117.153994,41
1554715,37.863273,-122.29061,48
1554878,37.833442499999997,-122.2795972,185
1554834,37.757912099999999,-122.2387725,312
1554936,37.806309800000001,-122.41229010000001,214
1555072,37.775092800000003,-122.45829929999999,195
1555040,37.786355499999999,-122.3911988,752
1555287,33.862181499999998,-118.3736778,44
1555450,37.669375600000002,-122.4790409,85
1555436,32.887170699999999,-117.16826140000001,97
1555517,32.750175400000003,-117.1246798,241
1555537,37.782824099999999,-122.43236949999999,199
1555564,37.800542999999998,-122.2535862,373
1555528,37.797607800000002,-122.43073099999999,151
1555551,37.638773999999998,-122.421781,226
1555613,32.758870299999998,-117.1430603,124
1555636,37.660373800000002,-122.05347279999999,52
1555628,37.327537200000002,-121.77276120000001,21
1555649,37.354427000000001,-122.025122,152
1555685,37.828589399999998,-122.19940680000001,257
1555659,32.710687499999999,-117.15270599999999,156
1555777,36.9898113,-122.014853,63
1555760,32.750704599999999,-117.1273238,97
1555822,37.534663600000002,-122.30044789999999,1494
1555755,37.401985099999997,-122.0674941,0
1555923,37.4179508,-122.11802419999999,344
1555963,36.979887300000001,-122.0098771,92
1556038,37.802747199999999,-122.2769969,3
1556055,37.703560000000003,-122.473815,230
1556026,37.401548699999999,-121.96012109999999,172
1556206,37.787018799999998,-122.41257950000001,1246
1556223,37.814628900000002,-122.2359222,176
1556072,37.324089600000001,-121.9687014,215
1556282,37.775252999999999,-122.44853000000001,209
1556297,37.378289100000003,-121.93900410000001,543
1552887,37.588336599999998,-122.3695304,302
1552771,37.830046299999999,-122.27197169999999,800
